GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/web-Stanford.html/web-Stanford.txt.gz.144.lp -o input/web-Stanford.html/web-Stanford.txt.gz.144.lp.sol
Reading problem data from 'input/web-Stanford.html/web-Stanford.txt.gz.144.lp'...
2312500 rows, 4906897 columns, 11562487 non-zeros
4906897 integer variables, all of which are binary
7219402 lines were read
GLPK Integer Optimizer 5.0
2312500 rows, 4906897 columns, 11562487 non-zeros
4906897 integer variables, all of which are binary
Preprocessing...
2312493 rows, 4906890 columns, 11562028 non-zeros
4906890 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 2312493
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
2312493 rows, 4906890 columns, 11562028 non-zeros
      0: obj =   0.000000000e+00 inf =   1.820e+02 (182)
     52: obj =   2.535000000e-01 inf =   1.300e+02 (130)
    104: obj =   5.063510000e-01 inf =   7.800e+01 (78)
    156: obj =   7.591770000e-01 inf =   2.600e+01 (26)
    182: obj =   8.856150000e-01 inf =   0.000e+00 (0)
*   234: obj =   8.856150000e-01 inf =   0.000e+00 (234)
*   286: obj =   8.856150000e-01 inf =   0.000e+00 (286)
*   338: obj =   8.856150000e-01 inf =   0.000e+00 (338)
*   405: obj =   7.585010000e-01 inf =   0.000e+00 (351)
Perturbing LP to avoid stalling [407]...
*   451: obj =   7.585010000e-01 inf =   0.000e+00 (380)
*   496: obj =   7.585010000e-01 inf =   0.000e+00 (425)
*   542: obj =   7.585010000e-01 inf =   0.000e+00 (471)
*   585: obj =   7.585010000e-01 inf =   0.000e+00 (477)
*   626: obj =   7.585010000e-01 inf =   0.000e+00 (392)
*   664: obj =   7.585010000e-01 inf =   0.000e+00 (395) 1
*   705: obj =   7.585010000e-01 inf =   0.000e+00 (448)
*   748: obj =   1.920145669e-01 inf =   0.000e+00 (354)
*   789: obj =   1.920145669e-01 inf =   0.000e+00 (358) 1
*   833: obj =   1.920145669e-01 inf =   0.000e+00 (360)
*   872: obj =   1.884174459e-01 inf =   0.000e+00 (383) 1
*   916: obj =   1.805320323e-01 inf =   0.000e+00 (340)
*   962: obj =   1.805320323e-01 inf =   0.000e+00 (317)
*  1004: obj =   1.805320323e-01 inf =   0.000e+00 (310) 1
*  1051: obj =   1.805320323e-01 inf =   0.000e+00 (310)
*  1093: obj =   1.805320323e-01 inf =   0.000e+00 (310) 1
*  1138: obj =   1.805320323e-01 inf =   0.000e+00 (310)
*  1180: obj =   1.805320323e-01 inf =   0.000e+00 (309)
*  1218: obj =   1.805320323e-01 inf =   0.000e+00 (309) 1
*  1260: obj =   1.805320323e-01 inf =   0.000e+00 (289)
*  1299: obj =   1.805320323e-01 inf =   0.000e+00 (253)
*  1334: obj =   1.805320323e-01 inf =   0.000e+00 (221) 1
*  1372: obj =   1.805320323e-01 inf =   0.000e+00 (212)
*  1410: obj =   1.805320323e-01 inf =   0.000e+00 (207)
*  1444: obj =   1.805320323e-01 inf =   0.000e+00 (207) 1
*  1482: obj =   1.805320323e-01 inf =   0.000e+00 (207)
*  1521: obj =   1.804820355e-01 inf =   0.000e+00 (165)
*  1555: obj =   1.804820355e-01 inf =   0.000e+00 (164) 1
*  1595: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  1634: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  1669: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  1707: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  1746: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  1781: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  1820: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  1858: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  1897: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  1935: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  1974: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2008: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2046: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2080: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2118: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2156: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2194: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2228: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2266: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2304: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2338: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2376: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2412: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2449: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2486: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2519: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2556: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2593: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2626: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2663: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2700: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2733: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2770: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2807: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2844: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2877: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  2914: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2951: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  2984: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  3021: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  3054: obj =   1.804820355e-01 inf =   0.000e+00 (161) 1
*  3091: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  3128: obj =   1.804820355e-01 inf =   0.000e+00 (161)
*  3161: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3198: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3235: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3268: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3305: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3342: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3378: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3415: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3452: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3485: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3522: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3559: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3592: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3629: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3666: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3703: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3736: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3773: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3810: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3843: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3880: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3916: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  3949: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  3985: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4021: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4053: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  4089: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4125: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4158: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  4194: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4230: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4263: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
*  4298: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4334: obj =   1.804607429e-01 inf =   0.000e+00 (154)
*  4365: obj =   1.804607429e-01 inf =   0.000e+00 (154) 1
