GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/web-Stanford.html/web-Stanford.txt.gz.36.lp -o input/web-Stanford.html/web-Stanford.txt.gz.36.lp.sol
Reading problem data from 'input/web-Stanford.html/web-Stanford.txt.gz.36.lp'...
2312500 rows, 4906897 columns, 11562487 non-zeros
4906897 integer variables, all of which are binary
7219402 lines were read
GLPK Integer Optimizer 5.0
2312500 rows, 4906897 columns, 11562487 non-zeros
4906897 integer variables, all of which are binary
Preprocessing...
2312493 rows, 4906890 columns, 11562028 non-zeros
4906890 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 2312493
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
2312493 rows, 4906890 columns, 11562028 non-zeros
      0: obj =   0.000000000e+00 inf =   1.820e+02 (182)
     52: obj =   2.535000000e-01 inf =   1.300e+02 (130)
    104: obj =   5.063510000e-01 inf =   7.800e+01 (78)
    156: obj =   7.591770000e-01 inf =   2.600e+01 (26)
    182: obj =   8.856150000e-01 inf =   0.000e+00 (0)
*   234: obj =   8.856150000e-01 inf =   0.000e+00 (234)
*   286: obj =   8.856150000e-01 inf =   0.000e+00 (286)
*   338: obj =   8.856150000e-01 inf =   0.000e+00 (338)
*   405: obj =   7.585010000e-01 inf =   0.000e+00 (351)
Perturbing LP to avoid stalling [407]...
*   451: obj =   7.585010000e-01 inf =   0.000e+00 (380)
*   497: obj =   7.585010000e-01 inf =   0.000e+00 (426)
*   543: obj =   7.585010000e-01 inf =   0.000e+00 (472)
*   586: obj =   7.585010000e-01 inf =   0.000e+00 (441)
*   627: obj =   7.585010000e-01 inf =   0.000e+00 (385)
*   665: obj =   7.585010000e-01 inf =   0.000e+00 (356) 1
*   706: obj =   7.585010000e-01 inf =   0.000e+00 (420)
*   749: obj =   7.104936752e-01 inf =   0.000e+00 (356)
*   790: obj =   7.104936752e-01 inf =   0.000e+00 (359) 1
*   834: obj =   7.104936752e-01 inf =   0.000e+00 (364)
*   874: obj =   7.098989487e-01 inf =   0.000e+00 (354) 1
*   919: obj =   7.056106129e-01 inf =   0.000e+00 (338)
*   965: obj =   7.056106129e-01 inf =   0.000e+00 (317)
*  1007: obj =   7.056106129e-01 inf =   0.000e+00 (310) 1
*  1054: obj =   7.056106129e-01 inf =   0.000e+00 (310)
*  1096: obj =   7.056106129e-01 inf =   0.000e+00 (310) 1
*  1141: obj =   7.056106129e-01 inf =   0.000e+00 (309)
*  1183: obj =   7.056106129e-01 inf =   0.000e+00 (309)
*  1221: obj =   7.056106129e-01 inf =   0.000e+00 (309) 1
*  1264: obj =   7.056106129e-01 inf =   0.000e+00 (285)
*  1306: obj =   7.056106129e-01 inf =   0.000e+00 (246)
*  1333: obj =   7.056106129e-01 inf =   0.000e+00 (222) 1
*  1374: obj =   7.056106129e-01 inf =   0.000e+00 (212)
*  1412: obj =   7.056106129e-01 inf =   0.000e+00 (207) 1
*  1453: obj =   7.056106129e-01 inf =   0.000e+00 (207)
*  1494: obj =   7.056106129e-01 inf =   0.000e+00 (207)
*  1532: obj =   7.056063759e-01 inf =   0.000e+00 (165) 1
*  1573: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  1614: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  1649: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  1688: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  1727: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  1762: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  1801: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  1840: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  1875: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  1914: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  1953: obj =   7.056063759e-01 inf =   0.000e+00 (165)
*  1988: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2026: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2064: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2098: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2136: obj =   7.056063759e-01 inf =   0.000e+00 (162)
*  2174: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2208: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2246: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2284: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2318: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2356: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2394: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2428: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2465: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2502: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2536: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2573: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2611: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2644: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2681: obj =   7.056063759e-01 inf =   0.000e+00 (162)
*  2718: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2752: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2789: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2826: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2859: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  2896: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2933: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  2966: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  3003: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  3040: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  3073: obj =   7.056063759e-01 inf =   0.000e+00 (161) 1
*  3110: obj =   7.056063759e-01 inf =   0.000e+00 (161)
*  3147: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3180: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3217: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3254: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3287: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3324: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3361: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3394: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3426: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3462: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3494: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3530: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3566: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3598: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3635: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3672: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3706: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3743: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3780: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3817: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3854: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3891: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3924: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  3960: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  3996: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  4029: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  4065: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  4102: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  4135: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  4171: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  4207: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  4240: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  4276: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  4312: obj =   7.056045714e-01 inf =   0.000e+00 (154)
*  4344: obj =   7.056045714e-01 inf =   0.000e+00 (154) 1
*  4379: obj =   7.056045714e-01 inf =   0.000e+00 (154)
